"","County","Air_EQI","Water_EQI","Land_EQI","SocioDemo_EQI","Built_EQI","EQI","Cases","Incid_Rate"
"1","Alamance",1.184472,1.069551,0.5169656,0.2697008,0.367106,0.9947622,"971",522.2
"2","Alexander",0.5631993,1.083827,-0.3137869,0.4889871,-0.826026,0.1991782,"200",412.2
"3","Alleghany",0.0006762,0.9897823,0.2280099,-0.6704906,0.1837028,0.0594245,"71",385.9
"4","Anson",0.2173691,0.9252102,0.1787153,-0.6282832,-0.3522266,-0.0696639,"138",435.7
"5","Ashe",-0.0604573,1.035833,0.3364494,-0.4092481,-0.2323467,0.0256475,"172",416.5
"6","Avery",0.1199069,1.072274,0.2798569,-0.6828554,0.5219597,0.2492768,"105",410.7
"7","Beaufort",0.6094786,0.9507933,-0.209163,-0.2890371,0.4755205,0.3950184,"329",466.5
"8","Bertie",-0.060936,1.005548,-0.3804292,-1.209734,-0.2824699,-0.5048094,"117",396.8
"9","Bladen",-0.0119186,1.040473,-1.193339,-0.5117022,-0.2533623,-0.4295949,"177",373.3
"10","Brunswick",0.4166197,1.020276,-0.9501297,-0.1048087,0.2554826,0.1248869,"738",384.9
"11","Buncombe",1.187838,1.106833,0.245734,0.3321978,1.062568,1.204368,"1,477",458.7
"12","Burke",0.9051944,0.9427508,-0.017383,-0.0764175,0.0568558,0.4792111,"551",460.9
"13","Cabarrus",1.477821,1.038795,0.5007596,0.9237195,0.2369755,1.290019,"936",482.5
"14","Caldwell",0.87668,1.021154,0.0444189,0.0269021,-0.2992051,0.4112169,"470",434.4
"15","Camden",-0.1222663,0.9141328,0.2598062,0.8063735,-2.996582,-0.5801721,"57",464.9
"16","Carteret",0.2178078,1.069197,0.0596281,0.4236571,0.140696,0.5066898,"474",463.1
"17","Caswell",0.3785756,1.016085,0.3222816,-0.1553541,-0.5792156,0.1422041,"144",429.8
"18","Catawba",1.374899,1.029698,0.2402992,0.4161656,0.6683327,1.142359,"908",479.6
"19","Chatham",0.5472292,1.043021,0.2456584,0.7920092,0.0533001,0.7778336,"424",422.4
"20","Cherokee",-0.2491132,1.023769,-0.358862,-0.6927013,0.6071489,-0.0392522,"201",419.8
"21","Chowan",0.1325051,0.5141538,0.0476693,-0.4410532,0.7937765,0.2758173,"120",560.6
"22","Clay",-0.5008963,1.013083,-0.2418845,-0.3718321,-0.6851479,-0.4437872,"95",492.2
"23","Cleveland",1.204723,1.000308,-0.2559591,-0.1101156,0.0192536,0.5014452,"642",514.8
"24","Columbus",0.1929122,1.076677,-1.242477,-0.7332895,0.0899553,-0.325011,"315",429
"25","Craven",0.6231565,1.066326,-0.9396861,0.1972935,0.3959245,0.375322,"604",475.2
"26","Cumberland",1.176917,1.072037,-0.8529088,0.0638222,0.0032749,0.3997362,"1,305",439.8
"27","Currituck",-0.3065629,1.034941,0.5609353,0.6400667,0.2021728,0.5622674,"127",428.4
"28","Dare",-0.3578696,1.027899,-0.8780529,0.4400191,0.3959297,0.1360553,"216",451
"29","Davidson",1.396722,1.011492,0.5041903,0.2088547,-0.451059,0.7333448,"1,000",482.3
"30","Davie",0.7480278,0.9960909,0.4184677,1.003214,-0.5763198,0.7390352,"299",525.4
"31","Duplin",-0.124649,1.055765,-0.589439,-0.5934891,-0.3964301,-0.3812136,"320",453.9
"32","Durham",1.345238,1.069942,-0.139838,0.4938713,1.272908,1.283418,"1,224",447.1
"33","Edgecombe",0.9090751,1.035942,-0.3501424,-0.9741651,-0.5194628,-0.1482781,"312",447.6
"34","Forsyth",1.43889,1.013055,0.3462183,0.6530006,0.8388084,1.343826,"2,030",499.3
"35","Franklin",0.426029,1.055502,-0.0150069,0.3224472,-0.6953407,0.2129921,"350",467.3
"36","Gaston",1.693889,1.071503,-0.0075442,0.3768926,0.3133481,1.048227,"1,220",490.9
"37","Gates",-0.082166,0.5093656,-0.2423329,-0.2393145,-1.77184,-0.7369834,"54",328
"38","Graham",-0.3833407,0.1435075,-0.183125,-1.112967,-0.1230717,-0.6289777,"38",302
"39","Granville",0.8660799,1.010917,0.215684,0.5177097,-0.5487871,0.5505269,"336",488.3
"40","Greene",0.1861029,1.007835,-0.977443,-0.7211657,-1.750855,-0.9316215,"96",392.7
"41","Guilford",1.634328,1.075307,0.209338,0.5850437,1.116742,1.460645,"2,693",482
"42","Halifax",0.5530813,0.9224302,-0.4912722,-1.144691,-0.2191631,-0.2891362,"361",491
"43","Harnett",0.7844659,0.9897034,-0.5002503,-0.3779495,-0.7473324,-0.0967341,"556",485.9
"44","Haywood",0.852359,1.095355,0.1205286,0.2024837,1.003913,0.9792724,"472",507.2
"45","Henderson",1.00803,1.063654,-0.1447319,0.7396669,0.468628,0.9647671,"792",451.6
"46","Hertford",0.0431334,1.017804,-0.5932397,-0.8601974,0.5430557,-0.0912044,"110",335.3
"47","Hoke",0.5953304,1.029243,-1.322356,-0.2221825,-1.801334,-0.7081355,"200",489.8
"48","Hyde",-1.439895,0.5310295,-0.1365451,-0.8183776,-0.4272946,-0.9096954,"22",271.9
"49","Iredell",1.250223,1.084905,0.3806176,0.6864117,0.7787583,1.292025,"832",443.6
"50","Jackson",0.1307296,1.077459,-0.0158431,-0.6296474,0.4077982,0.1504987,"203",399.3
"51","Johnston",0.924787,1.084121,-0.4704525,0.3396041,0.1556269,0.5816791,"781",428.1
"52","Jones",-0.2310573,1.039473,-1.082499,-0.2061211,-1.298721,-0.7386413,"58",397.8
"53","Lee",0.930365,1.02459,-0.2765333,0.1619208,0.9582496,0.8504439,"325",469.1
"54","Lenoir",0.807803,1.041061,-0.8687945,-0.6111649,0.6052721,0.2211876,"374",485.2
"55","Lincoln",1.291587,1.021396,0.0551349,0.6459254,-0.4193516,0.7524184,"442",450.8
"56","McDowell",0.7124198,1.059675,-0.1433091,-0.051789,-0.3395704,0.2640152,"296",498.1
"57","Macon",-0.1247689,1.078563,0.1572817,-0.1559274,0.9636915,0.4935572,"258",460.2
"58","Madison",0.2641183,1.017177,0.2131425,-0.430085,-1.011153,-0.1903356,"128",422.3
"59","Martin",0.2318044,1.083096,-0.5006666,-0.7098462,-0.0452282,-0.1438026,"176",498.4
"60","Mecklenburg",1.795411,1.05148,0.3493022,1.072185,1.034022,1.707885,"4,064",450.9
"61","Mitchell",0.2098882,0.9751639,0.3291704,-0.3714219,-0.3308082,0.0852091,"101",429.5
"62","Montgomery",0.2112772,0.9894763,0.3918597,-0.9142382,-0.8100262,-0.2764822,"184",494.8
"63","Moore",0.5422752,1.069216,-0.194782,0.6580662,0.6513156,0.8246064,"711",517.8
"64","Nash",0.9701491,1.00959,-0.342536,0.2882531,0.5328237,0.736726,"497",420.8
"65","New Hanover",1.064707,1.029107,-0.256819,0.4690348,1.059106,1.058002,"1,063",429.1
"66","Northampton",-0.0355662,1.013278,-0.6125306,-1.169223,-0.3735866,-0.5767983,"151",471.9
"67","Onslow",0.448637,1.047952,-1.384386,-0.0817578,-0.1374464,-0.1138604,"642",490.9
"68","Orange",1.000372,1.022552,0.3151525,0.8952935,1.175766,1.399412,"604",450.4
"69","Pamlico",-0.2596542,0.9878948,-0.3388244,-0.39103,-0.1565879,-0.2063972,"116",525.7
"70","Pasquotank",0.5900608,0.8780293,0.3822,-0.4525962,0.8178632,0.60123,"206",437.5
"71","Pender",0.1134023,1.02565,-1.165171,0.2725146,-0.6345991,-0.2190895,"313",442.6
"72","Perquimans",-0.1458519,0.9323261,0.2455919,-0.5029892,-0.533976,-0.194534,"108",495.5
"73","Person",0.7554572,1.046328,0.2958869,0.3382338,0.0002095,0.6719215,"235",459.1
"74","Pitt",0.9098883,1.068631,-0.5739462,-0.3286947,0.3579352,0.362327,"639",393.5
"75","Polk",0.5453077,0.9820249,-0.1388201,0.5535113,0.0809805,0.5773181,"130",372.3
"76","Randolph",1.358316,1.045526,0.3088241,0.2956015,-0.3964061,0.7250296,"886",511.7
"77","Richmond",0.533362,1.042533,-0.3173948,-0.6023477,0.2967928,0.1704652,"262",469.7
"78","Robeson",0.7375834,1.03443,-1.155093,-1.210328,-0.1932538,-0.4043984,"599",410.7
"79","Rockingham",0.9210267,1.036744,0.1741126,0.0052109,-0.0571489,0.5455039,"694",549
"80","Rowan",1.342406,1.059484,0.4996029,0.1162197,0.1887512,0.9194345,"872",515.9
"81","Rutherford",0.9494533,1.113413,-0.0895725,-0.2626936,0.3800999,0.5528112,"454",488.6
"82","Sampson",0.2656606,1.112751,-0.6231894,-0.3891065,-0.4551051,-0.1868183,"336",433.4
"83","Scotland",0.6130328,0.1040975,-1.12029,-0.8199042,0.1536846,-0.336888,"256",600.4
"84","Stanly",0.9543202,1.055382,0.5495213,0.0658052,0.1107393,0.7494925,"339",445.8
"85","Stokes",0.5683514,1.133268,0.1813973,0.4935662,-1.098613,0.2507645,"321",484.2
"86","Surry",0.7337503,1.031631,0.2413858,0.0105443,0.3321764,0.6416581,"518",511.7
"87","Swain",-0.2473282,0.1543074,-0.3855466,-1.252151,1.011572,-0.2763664,"105",553.7
"88","Transylvania",0.4453035,1.064479,-0.1873167,0.3750819,0.3787526,0.5843824,"257",442.4
"89","Tyrrell",-0.8241576,0.5648559,-0.102132,-1.324537,-1.241885,-1.169279,"21",382
"90","Union",1.067802,1.036757,0.4630077,1.350833,-0.3492287,1.086426,"1,004",485.6
"91","Vance",0.6709036,0.9988605,0.0584986,-0.5843804,-0.1583821,0.1562267,"257",472.3
"92","Wake",1.227949,1.139227,-0.0689992,1.571886,1.010646,1.592805,"3,964",451.5
"93","Warren",-0.0101162,1.064875,-0.4096084,-0.8591383,-1.321564,-0.7278459,"143",467.7
"94","Washington",0.0472011,1.056279,0.0162416,-0.9950324,0.1397615,-0.1111841,"84",452.5
"95","Watauga",0.5659671,1.092831,0.4577231,-0.225222,1.410464,0.9568952,"241",444.9
"96","Wayne",0.8909265,1.058373,-0.6468177,-0.1739916,0.2338212,0.3475965,"668",476
"97","Wilkes",0.5400831,1.072086,-0.1985717,0.0212765,-0.2591164,0.2480978,"420",429.6
"98","Wilson",1.008497,1.016868,-0.7575459,-0.5828522,0.452676,0.2729716,"450",447.5
"99","Yadkin",0.4138201,1.027247,0.0840535,0.394453,-0.8462492,0.2037036,"234",456.1
"100","Yancey",0.0510729,0.9805539,0.1954662,-0.4616922,-0.835059,-0.2244846,"111",387.4
