"","County","D303_Percent","SEWAGENPDESperKM","INDNPDESperKM","STORMNPDESperKM","numDays_Close_Activity_tot","numDays_Cont_Activity_tot","numDays_Rain_Activity_tot","Per_TotPopSS_ave","CaAve","MgAve","Kave","NaAve","NH4Ave","NO3Ave","ClAve","SO4Ave","HgAve","AvgOfD3_ave","As","Ba","Cd","Cr","CN","FL","HG","NO3","NO2","SE","SB","BE","TI","ENDRIN","LINDANE","METHOXYCHLOR","TOXAPHENE","DALAPON","DEHA","OXAMYL","SIMAZINE","DEHP","PICLORAM","DINOSEB","HCCPD","CARBOFURAN","ATRAZINE","ALACHLOR","HEPTACHLOR","HEPTACHLOR_EPOX","24D","HCB","BENZOAP","PCP","124TCIB","PCB","DBCP","EDB","XYLENES","CHLORDANE","DCM","ODCB","PDCB","VCM","11DCE","T12DCE","EDC","111TRICHLORANE","CCL4","PDC","TRICHLORENE","112TCA","C2CL4","BENZENE","CL1BENZ","TOLUENE","ETHYLBENZ","STRYENE","DCE","ALPHA","SILVEX","Instances","Instance Rate"
"1","Alamance",3.92,0,99.89,7.01,0,0,0,43.76,0.0851,0.032,0.1057,0.1283,0.2558,0.914,0.2594,1.5227,5.9378,6.71,0.005,0.21,0.001,0.015,0.028,0.34,0,0.85,0.17,0.008,0.003,0,0.001,0.01,0.21,0.1,1,1,0.94,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,2.98,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.82,0.7,0.5,2.2,0.2,"1,121",531.7
"2","Alexander",NA,0,40.43,0,0,0,0,33.59,0.0917,0.0251,0.118,0.0727,0.2002,0.8623,0.1604,1.6206,6.915,12.45,0.005,0.4,0.001,0.02,0.04,0.14,0,0.87,0.1,0.01,0.003,0,0.001,0.01,0.4,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.05,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"240",456.8
"3","Alleghany",NA,0,18.49,0,0,0,0,70.36,0.1056,0.0231,0.1196,0.0551,0.1946,0.9097,0.129,1.5635,6.9697,7.08,0.005,0.02,0.001,0.01,0.04,0.1,0,0.82,0.1,0.01,0.003,0,0.001,0.01,0.02,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.8,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.2,"69",339.2
"4","Anson",9.08,1.53,23.02,0.77,0,0,0,14.52,0.0925,0.0322,0.1078,0.1451,0.2433,0.9105,0.2847,1.5385,4.6064,7.92,0.004,0.02,0.001,0.053,0.005,0.85,0,1.38,0,0.004,0.002,0,0.001,0.01,0.02,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.2,"168",490.8
"5","Ashe",1.92,0,33.33,0,0,0,0,83.4,0.1012,0.0208,0.1054,0.0504,0.1896,0.883,0.1145,1.4844,7.1059,7.29,0.005,0.15,0.001,0.014,0.02,0.31,0,0.65,0.1,0.006,0.003,0,0.001,0.01,0.15,0.1,1,1,0.73,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.03,0.2,"189",401.7
"6","Avery",2,0,81.31,0,0,0,0,41.35,0.0878,0.0193,0.0869,0.055,0.1704,0.7606,0.1095,1.3178,6.8889,10.94,0.005,0.35,0.001,0.018,0.037,0.15,0,1.04,0.1,0.01,0.003,0,0.001,0.01,0.35,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.25,0.5,0.5,0.5,1.73,0.2,"98",357.7
"7","Beaufort",0.82,5.07,31.46,2.54,0,6,0,25.67,0.0942,0.0604,0.0988,0.3828,0.1914,0.7032,0.6746,1.0432,3.4956,0,0.005,0.1,0.001,0.005,0.04,0.32,0,0.96,0,0.01,0.003,0,0.001,0.01,0.1,0.1,1,1.1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.99,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"320",428.8
"8","Bertie",22.35,3.82,22.18,1.53,0,0,0,29.87,0.089,0.0396,0.0958,0.2355,0.1908,0.763,0.4198,1.1379,3.7644,0.28,0.005,0.29,0.001,0.012,0.04,1.23,0,0.64,0,0.01,0.003,0,0.001,0.01,0.29,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.93,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.77,0.2,"136",475.3
"9","Bladen",7.91,43.95,16.8,1.29,0,0,0,42.27,0.0885,0.0416,0.0836,0.2645,0.2285,0.7822,0.4788,1.2475,3.8956,0.78,0.005,0.19,0.001,0.012,0.036,0.36,0,1.19,0.07,0.008,0.003,0,0.001,0.01,0.19,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.73,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5,0,0.2,"235",490
"10","Brunswick",2.26,3.84,29.83,3.41,0,2,0,20.66,0.1026,0.0845,0.125,0.4597,0.206,0.7247,0.8058,1.2076,3.7705,0.46,0.005,0.4,0.001,0.02,0.04,0.12,0,0.5,0.09,0.01,0.003,0,0.001,0.01,0.4,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.4,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"1,232",473.6
"11","Buncombe",3.14,0,100.93,3.88,0,0,0,36.52,0.0814,0.0116,0.0606,0.0474,0.1363,0.6426,0.0922,1.0835,5.7375,8.98,0.007,0.15,0.001,0.013,0.023,0.23,0,0.94,0.09,0.013,0.003,0,0.001,0.01,0.15,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,2.32,0.1,0.02,0.01,0.5,0.2,0.5,0.56,0.5,0.5,0.5,0.5,2.32,0.5,0.5,0.5,1.94,0.5,0.78,0.57,0.5,0.5,0.5,0.5,2.32,1.92,0.2,"1,669",465.4
"12","Burke",0.74,0,64.99,6.42,0,0,0,39.37,0.0881,0.0222,0.0987,0.0651,0.1742,0.7593,0.1301,1.3758,7.0437,13.19,0.004,0.04,0.001,0.006,0.005,0.52,0,0.79,0.05,0.005,0.002,0,0.001,0.01,0.04,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.84,0.2,"617",471.3
"13","Cabarrus",22.03,0,104.71,7.17,0,0,0,23.21,0.0854,0.026,0.1089,0.1113,0.2189,0.908,0.2434,1.7595,5.3117,9.58,0.005,0.15,0.001,0.013,0.031,0.46,0,0.81,0.07,0.009,0.002,0,0.001,0.01,0.15,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.96,0.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.58,0.5,0.5,2.36,0.2,"1,122",493.9
"14","Caldwell",5.2,0,63.65,3.22,0,0,0,32.2,0.0935,0.0213,0.1066,0.0608,0.1818,0.8076,0.1286,1.445,7.0598,12.79,0.005,0.15,0.001,0.018,0.031,0.67,0,0.85,0,0.009,0.003,0,0.001,0.01,0.15,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.13,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"574",486.6
"15","Camden",NA,0,12.8,0,0,0,0,16.34,0.1023,0.105,0.1661,0.4592,0.1575,0.7603,0.7935,1.1778,3.7068,0.2,0.005,0.1,0.001,0.005,0.04,0.27,0,1,0,0.01,0.003,0,0.001,0.01,0.1,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"38",268.8
"16","Carteret",31.83,0,60.83,1.54,0,46,0,31.29,0.0949,0.0769,0.0801,0.6359,0.1559,0.6304,1.1281,0.9158,3.4418,0,0.006,0.35,0.001,0.018,0.035,0.15,0,0.58,0.07,0.01,0.003,0,0.001,0.01,0.35,0.1,1,1.31,0.6,2,0.07,1.91,0.1,0.2,0.2,0.9,0.1,0.2,0.04,0.02,0.31,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8.75,0.5,0.5,0.5,1.71,0.2,"560",473
"17","Caswell",NA,0,54.58,0,0,0,0,87,0.0834,0.0244,0.0986,0.0951,0.2152,0.9256,0.207,1.4707,6.3396,7.49,0.004,0.16,0.001,0.01,0.023,0.77,0,0.92,0.13,0.006,0.002,0,0.001,0.01,0.16,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.5,0.2,"175",507.3
"18","Catawba",3.63,0,197.48,6.58,0,0,0,42.5,0.0881,0.0252,0.1168,0.0801,0.1915,0.8297,0.1723,1.6052,6.8942,12.72,0.004,0.13,0.001,0.013,0.038,0.58,0,0.54,0.05,0.008,0.002,0,0.001,0.01,0.13,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.82,0.2,0.5,0.5,0.6,0.63,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.58,1.1,0.5,0.5,2.05,0.2,"1,001",481
"19","Chatham",4.19,2.71,52.53,2.71,0,0,0,54.76,0.081,0.0256,0.0842,0.1322,0.2628,0.9071,0.259,1.4307,4.9706,6.09,0.005,0.14,0.001,0.014,0.048,0.44,0,1.04,0.1,0.007,0.003,0,0.001,0.01,0.14,0.1,1,1,0.6,2,0.09,1.32,0.1,0.2,0.1,0.9,0.11,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.71,0.2,"545",468
"20","Cherokee",NA,0,33.05,0,0,0,0,67.32,0.1012,0.0372,0.0932,0.0899,0.1359,0.6945,0.1862,1.2391,5.2517,1.68,0.007,0.14,0.001,0.014,0.02,0.13,0,0.43,0.1,0.014,0.003,0,0.001,0.01,0.14,0.1,1,1,1.5,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"219",448.8
"21","Chowan",11.27,2.29,43.42,2.29,0,0,0,7.19,0.0976,0.0711,0.1312,0.3142,0.1651,0.7258,0.5406,1.1016,3.6669,0.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01,0,0.1,1,1.27,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.21,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"87",361.6
"22","Clay",NA,0,16.85,0,0,0,0,86.61,0.0917,0.0233,0.0779,0.0835,0.1357,0.6736,0.163,1.097,5.1669,2.51,0.009,0.02,0.001,0.02,0.022,0.18,0,0.77,0.08,0.01,0.003,0,0.001,0.01,0.02,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.72,0.2,"70",358
"23","Cleveland",0.92,0,98.2,1.16,0,0,0,17.57,0.0804,0.0287,0.1116,0.0803,0.1797,0.7589,0.1586,1.408,6.2079,11.86,0.005,0.15,0.001,0.013,0.017,0.4,0,0.77,0,0.007,0.003,0,0.001,0.01,0.15,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,2.13,0.5,0.5,0.53,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.1,0.2,"668",518.5
"24","Columbus",0.33,15.73,23.07,1.05,0,0,0,64.69,0.0981,0.0615,0.1055,0.357,0.2179,0.7679,0.6378,1.2713,3.9283,1.4,0.005,0.28,0.001,0.02,0.04,0.88,0,0.6,0.11,0.01,0.003,0,0.001,0.01,0.28,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,3.23,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.83,0.5,0.5,3,0.2,"329",416.2
"25","Craven",8.65,8.49,41.32,1.7,0,1,0,19.84,0.0908,0.0552,0.0859,0.4054,0.1962,0.6996,0.7245,1.0341,3.5299,0,0.005,0.31,0.001,0.015,0.04,0.5,0,1,0.06,0.01,0.003,0,0.001,0.01,0.31,0.1,1,1.67,0.6,2,0.07,1.71,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,2.42,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,3,0.2,"682",505.3
"26","Cumberland",6.89,3.67,60.15,8.07,0,0,0,8.54,0.0848,0.0279,0.0738,0.1773,0.2495,0.826,0.3253,1.2765,4.3151,2.87,0.006,0.22,0.001,0.011,0.031,0.47,0,1.43,0.1,0.008,0.003,0,0.001,0.01,0.22,0.1,1,1,0.6,2,0.07,1.27,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.025,0.1,0.1,0.02,0.04,0.5,0.1,0.021,0.01,1.81,0.2,0.5,0.5,0.5,0.5,1.93,0.5,0.5,0.65,0.5,0.5,0.53,0.5,0.5,0.5,0.5,1.27,0.8,0.5,0.5,5.45,0.2,"1,400",433.5
"27","Currituck",NA,0,17.26,0,33,10,0,25.09,0.1026,0.1176,0.1773,0.5085,0.1498,0.7603,0.8779,1.1935,3.7758,0.01,0.005,0.4,0.001,0.02,0.04,0.1,0,1.4,0.1,0.01,0.003,0,0.001,0.01,0.4,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.15,0.2,"70",192.5
"28","Dare",7.74,0,17.8,0,12,66,0,17.39,0.1133,0.1652,0.2034,0.6665,0.1548,0.6845,1.1013,1.0622,3.3794,0,0.005,0.38,0.001,0.017,0.029,0.46,0,1.22,0.07,0.01,0.003,0,0.001,0.01,0.38,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.05,0.2,"206",366
"29","Davidson",16.25,0,105.25,2.19,0,0,0,17.1,0.0922,0.0251,0.1127,0.101,0.2223,0.9347,0.2253,1.7277,5.6515,10,0.005,0.28,0.001,0.014,0.04,1.05,0,1.43,0,0.01,0.003,0,0.001,0.01,0.28,0.1,1,1.53,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"1,107",492.9
"30","Davie",4.25,0,46.31,0,0,0,0,32.7,0.089,0.0239,0.1141,0.0902,0.2259,0.9162,0.2088,1.8058,6.7014,11.15,0.005,0.14,0.001,0.01,0.018,0.44,0,1.32,0,0.008,0.002,0,0.001,0.01,0.14,0.1,1,1.05,0.6,2,0.09,1.32,0.1,0.2,0.123,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"297",482.8
"31","Duplin",2.14,131.62,31.04,0.57,0,0,0,40.2,0.0853,0.0391,0.0787,0.2573,0.2328,0.7436,0.4595,1.1415,3.763,0.01,0.005,0.16,0.001,0.015,0.042,0.15,0,0.93,0.07,0.009,0.003,0,0.001,0.01,0.16,0.1,1,1,0.6,2,0.07,1.96,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.23,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.1,0.2,"298",376.5
