"","County","D303_Percent","SEWAGENPDESperKM","INDNPDESperKM","STORMNPDESperKM","numDays_Close_Activity_tot","numDays_Cont_Activity_tot","numDays_Rain_Activity_tot","Per_TotPopSS_ave","CaAve","MgAve","Kave","NaAve","NH4Ave","NO3Ave","ClAve","SO4Ave","HgAve","AvgOfD3_ave","As","Ba","Cd","Cr","CN","FL","HG","NO3","NO2","SE","SB","BE","TI","ENDRIN","LINDANE","METHOXYCHLOR","TOXAPHENE","DALAPON","DEHA","OXAMYL","SIMAZINE","DEHP","PICLORAM","DINOSEB","HCCPD","CARBOFURAN","ATRAZINE","ALACHLOR","HEPTACHLOR","HEPTACHLOR_EPOX","24D","HCB","BENZOAP","PCP","124TCIB","PCB","DBCP","EDB","XYLENES","CHLORDANE","DCM","ODCB","PDCB","VCM","11DCE","T12DCE","EDC","111TRICHLORANE","CCL4","PDC","TRICHLORENE","112TCA","C2CL4","BENZENE","CL1BENZ","TOLUENE","ETHYLBENZ","STRYENE","DCE","ALPHA","SILVEX","Instances","Instance Rate"
"66","Northampton Count",4.38,7.68,16.12,2.3,0,0,0,43.54,0.0858,0.0333,0.097,0.1767,0.1969,0.8217,0.3345,1.2547,4.2148,1.83,0.005,0.17,0.001,0.01,0.023,0.67,0,3.83,0.1,0.01,0.003,0,0.001,0.01,0.17,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.83,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.2,NA,NA
"67","Onslow",20.26,20.59,55.88,2.21,0,3,0,26.85,0.0908,0.0576,0.0873,0.3767,0.1978,0.6977,0.664,1.0514,3.6056,0,0.005,0.34,0.001,0.015,0.034,0.92,0,0.6,0.1,0.009,0.003,0,0.001,0.01,0.34,0.1,1,3.28,0.6,2,0.07,2.14,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.2,"880",583.5
"68","Orange",1.8,1.11,168.11,5.57,0,0,0,20.33,0.0821,0.0285,0.095,0.1275,0.2577,0.9041,0.2553,1.4549,5.3299,6.35,0.005,0.18,0.001,0.013,0.018,0.44,0,0.82,0.06,0.005,0.003,0,0.001,0.01,0.18,0.1,1,1,0.65,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.69,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.31,0.2,"751",473.5
"69","Pamlico",3.17,0,24.08,0,0,64,0,27.11,0.0961,0.0699,0.0968,0.5173,0.1819,0.6661,0.916,0.9722,3.4366,0,0.005,0.18,0.001,0.009,0.04,0.43,0,1.29,0,0.01,0.003,0,0.001,0.01,0.18,0.1,1,1.86,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.18,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"111",458.7
"70","Pasquotank",7.44,0,56.29,4.02,0,0,0,19.21,0.1007,0.0967,0.1564,0.4367,0.1583,0.7592,0.7563,1.164,3.6881,0.07,0.005,0.01,0.001,0.005,0.034,0.98,0,0.55,0.12,0.005,0.001,0,0.001,0.01,0.01,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"177",351.8
"71","Pender",5.96,20.32,18.35,0,0,0,0,71.5,0.0903,0.0617,0.1009,0.3175,0.2177,0.7194,0.5464,1.11,3.6825,0,0.005,0.14,0.001,0.009,0.047,0.11,0,0.45,0.05,0.007,0.003,0,0.001,0.01,0.14,0.1,1,1,0.6,2,0.07,7.36,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.15,0.1,0.02,0.04,0.5,0.1,0.02,0.01,6.25,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.1,0.5,0.5,3,0.2,"358",432.4
"72","Perquimans",5.58,1.53,13.75,0,0,0,0,8.93,0.1015,0.0893,0.1508,0.3497,0.1611,0.7098,0.5914,1.0879,3.6781,0.02,0.005,0.1,0.001,0.005,0.04,0.21,0,1.21,0,0.01,0.003,0,0.001,0.01,0.1,0.1,1,1.7,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.14,0.5,0.1,0.02,0.01,0.65,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"76",328.4
"73","Person",1.88,1.07,73.83,1.07,0,0,0,72.12,0.0782,0.0287,0.0879,0.1153,0.224,0.8821,0.2338,1.3702,5.6692,7.23,0.005,0.21,0.001,0.013,0.017,0.33,0,0.48,0.05,0.005,0.004,0,0.001,0.01,0.21,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.49,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.65,0.9,0.5,3,0.2,"284",511.5
"74","Pitt",9.13,23.14,41.21,3.39,0,0,0,14.57,0.0867,0.0388,0.0823,0.2555,0.2114,0.7569,0.4633,1.1414,3.7012,0,0.005,0.4,0.001,0.02,0.04,0.99,0,1,0.01,0.01,0.003,0,0.001,0.01,0.4,0.1,1,1.72,0.6,2,0.07,1.58,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.83,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.23,0.2,"821",441.2
"75","Polk",NA,0,40.12,0,0,0,0,63.36,0.0818,0.0202,0.0854,0.0654,0.1634,0.6897,0.1235,1.1683,6.2301,12.06,0.009,0.02,0.001,0.009,0.012,0.12,0,0.8,0.08,0.018,0.003,0,0.001,0.01,0.02,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"176",486.8
"76","Randolph",1.88,2.67,45.01,2.67,0,0,0,49.87,0.091,0.028,0.107,0.1131,0.2559,0.9157,0.2347,1.5666,5.5015,7.69,0.004,0.1,0.001,0.012,0.011,0.46,0,0.95,0.11,0.006,0.003,0,0.001,0.01,0.1,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,10.2,0.2,0.5,0.5,0.5,0.5,0.67,0.5,0.5,1.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.57,1.47,0.5,0.5,2.57,0.2,"961",501
"77","Richmond",4.7,5.28,27.29,1.76,0,0,0,21.4,0.0857,0.0252,0.0821,0.1442,0.2484,0.9085,0.2752,1.4312,4.5676,7.31,0.005,0.16,0.001,0.011,0.027,0.51,0,1.33,0.08,0.008,0.002,0,0.001,0.01,0.16,0.1,1,1.78,0.6,2,0.07,1.32,0.1,0.2,0.113,0.9,0.1,0.2,0.04,0.02,0.17,0.1,0.02,0.04,0.5,0.1,0.02,0.04,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"286",485.7
"78","Robeson",NA,15.8,33.8,2.19,0,0,0,24.29,0.089,0.0352,0.0835,0.2228,0.228,0.8231,0.409,1.3177,4.1331,4.4,0.005,0.17,0.001,0.011,0.018,0.66,0,0.78,0.1,0.005,0.002,0,0.001,0.01,0.17,0.1,1,1,0.6,2,0.07,1.51,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.15,0.98,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,2.25,0.2,"663",430
"79","Rockingham",7.05,0,145.89,1.79,0,0,0,45.78,0.0911,0.0252,0.1139,0.0802,0.2142,0.9207,0.1812,1.5252,6.5661,8.72,0.005,0.14,0.001,0.012,0.016,0.73,0,0.7,0.16,0.007,0.003,0,0.001,0.01,0.14,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.87,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.17,0.5,0.5,0.5,0.5,0.5,0.5,1.73,0.2,"624",461.3
"80","Rowan",14.28,0,94.01,4.95,0,0,0,38.15,0.0875,0.023,0.1053,0.1034,0.2548,0.9481,0.2357,1.8544,5.4033,11.01,0.004,0.26,0.001,0.013,0.038,0.3,0,1.05,0.05,0.011,0.002,0,0.002,0.01,0.26,0.1,1,2.42,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.62,0.273,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,1.06,0.5,0.5,0.5,0.53,0.5,0.5,2.5,0.2,"960",517.1
"81","Rutherford",1.24,0,64.31,0,0,0,0,48.48,0.0842,0.0215,0.0923,0.0665,0.1685,0.7156,0.1282,1.2576,6.8483,12.94,0.005,0.21,0.001,0.018,0.03,0.6,0,0.62,0.1,0.01,0.003,0,0.001,0.01,0.21,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,16.96,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.64,2.36,0.5,0.5,1.5,0.2,"464",454.1
"82","Sampson",9.35,115.9,21.76,0.51,0,0,0,63.7,0.0784,0.027,0.0614,0.1947,0.3128,0.7965,0.3536,1.2007,4.1052,0.94,0.005,0.4,0.001,0.02,0.04,0.53,0,2.04,0.09,0.01,0.003,0,0.001,0.01,0.4,0.1,1,1,0.6,2,0.07,3.95,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.52,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"388",468.4
"83","Scotland",NA,11.21,48.59,0,0,0,0,31.02,0.0875,0.0254,0.0727,0.166,0.2465,0.8851,0.3072,1.3422,4.3712,6.35,0.005,0.4,0.001,0.02,0.04,0.1,0,1.73,0.01,0.01,0.003,0,0.001,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,"184",412.7
"84","Stanly",11.29,2.83,75.03,2.83,0,0,0,46.05,0.0957,0.0304,0.1204,0.1272,0.2469,0.9267,0.2644,1.6738,5.1954,7.87,0.004,0.23,0.001,0.012,0.024,0.26,0.001,1.49,0.1,0.007,0.003,0,0.001,0.01,0.23,0.1,1,2.11,0.6,2,0.07,1.32,0.1,0.2,0.12,0.9,0.1,0.2,0.04,0.02,0.17,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.25,0.2,"410",491.6
"85","Stokes",1.28,0,30.45,0,0,0,0,55.14,0.0987,0.0272,0.1242,0.0746,0.2136,0.9286,0.1714,1.6085,6.5949,8.92,0.006,0.1,0.001,0.011,0.008,0.63,0.005,0.59,0.07,0.005,0.003,0,0.001,0.01,0.1,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.04,0.6,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.2,0.5,0.5,0.5,0.5,0.5,0.5,2.46,0.2,"311",450.5
"86","Surry",1.47,0.64,52.97,1.28,0,0,0,71.35,0.0995,0.027,0.1268,0.0674,0.1938,0.9074,0.1564,1.6285,6.7498,8.49,0.005,0.1,0.001,0.01,0.019,0.45,0,0.53,0.12,0.007,0.003,0,0.001,0.01,0.1,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.11,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.43,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.62,0.5,0.5,3.38,0.2,"513",489.3
"87","Swain",0.27,0,21.16,0,0,0,0,76.61,0.0853,0.0136,0.0576,0.0515,0.1422,0.7182,0.1031,1.0786,5.5412,3.07,0.007,0.21,0.001,0.015,0.027,0.14,0,0.54,0.1,0.013,0.003,0,0.001,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0,"96",496.9
"88","Transylvania Coun",0.29,0,57.1,0,0,0,0,57.59,0.0836,0.0194,0.0775,0.0657,0.1318,0.6129,0.1188,0.9939,5.4461,9.5,0.005,0.2,0.001,0.016,0.03,0.39,0,0.75,0.1,0.01,0.003,0,0.001,0.01,0.2,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.87,0.2,NA,NA
"89","Tyrrell",1.4,1.81,13.56,0,0,0,0,8.75,0.1079,0.1189,0.1634,0.4766,0.1569,0.6619,0.7863,1.0099,3.4929,0,0,0,0,0,0,0,0,1.27,0.1,0,0,0,0,0.01,0,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.3,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.01,0.2,"29",510.4
"90","Union",15.5,2.77,51.26,5.54,0,0,0,35.13,0.0861,0.0316,0.1115,0.1282,0.2081,0.8816,0.2616,1.6057,4.8797,8.18,0.005,0.14,0.001,0.02,0.021,0.55,0,1.67,0.1,0.01,0.003,0,0.001,0.01,0.14,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,"1,222",482.1
"91","Vance",1.72,0,77.07,3.35,0,0,0,55.53,0.078,0.0249,0.0821,0.1292,0.231,0.8751,0.2653,1.3693,5.3025,5.5,0.005,0.14,0.001,0.009,0.009,0.78,0,0.95,0.06,0.005,0.002,0,0.001,0.01,0.14,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.84,0.2,"282",474.6
"92","Wake",8.33,1.83,132.57,8.26,0,0,0,14.45,0.0715,0.019,0.0531,0.1283,0.2777,0.8668,0.2454,1.2923,5.1605,4.48,0.006,0.22,0.001,0.014,0.039,0.2,0,1.26,0.07,0.01,0.004,0,0.001,0.01,0.22,0.1,1.74,3.61,0.6,2,0.07,1.6,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.42,0.1,0.02,0.04,0.53,0.1,0.02,0.08,2.69,0.2,0.53,0.5,0.5,0.5,0.55,0.5,0.53,0.6,0.5,0.7,0.9,0.5,0.89,0.5,0.5,0.78,1.04,0.5,0.53,8.5,0.2,"5,269",480.8
"93","Warren",2.47,4.2,16.81,0,0,0,0,73.03,0.0799,0.027,0.0855,0.143,0.2366,0.8868,0.2905,1.3516,4.9045,4.23,0.005,0.22,0.001,0.02,0.04,0.47,0,1.43,0.1,0.01,0.003,0,0.001,0.01,0.22,0.1,1,1,0.64,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"153",473.3
"94","Washington",5.66,2.04,22.45,1.02,0,0,0,23.33,0.098,0.0763,0.1238,0.3769,0.1774,0.6968,0.6451,1.0489,3.8565,0,0.005,0.4,0.001,0.02,0.04,0.47,0,1,0.02,0.01,0.003,0,0.001,0.01,0.4,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,5.07,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.45,0.2,"72",361.5
"95","Watauga",0.52,0,63.16,0,0,0,0,32.49,0.0971,0.0186,0.0971,0.0502,0.1862,0.8437,0.1098,1.4143,7.1406,10.8,0.005,0.19,0.001,0.017,0.031,1.64,0,1.05,0.1,0.009,0.003,0,0.001,0.01,0.19,0.1,1,0.91,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.043,0.04,0.5,0.1,0.02,0.01,2.77,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.09,0.5,0.5,1.53,0.2,"254",396.7
"96","Wayne",9.48,87.89,50.93,4.11,0,0,0,11.1,0.0824,0.0305,0.0725,0.2044,0.2355,0.7728,0.3737,1.197,4.0718,0.45,0.005,0.2,0.001,0.014,0.04,0.45,0,1.68,0.1,0.01,0.003,0,0.001,0.01,0.2,0.1,1,1,0.6,2,0.07,1.44,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,1.05,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"732",486.9
"97","Wilkes",1.2,0,33.43,0,0,0,0,47.01,0.1027,0.023,0.1197,0.0622,0.1959,0.8918,0.1422,1.5935,7.0062,10.97,0.005,0.27,0.001,0.019,0.04,0.49,0,0.59,0.05,0.01,0.003,0,0.001,0.01,0.27,0.1,1,1,0.6,2,0.07,1.32,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.85,0.2,"475",460.2
"98","Wilson",5.15,6.37,68.76,3.82,0,0,0,32.28,0.0808,0.0281,0.0762,0.1832,0.2342,0.8143,0.3445,1.2351,4.1795,1.49,0.005,0.16,0.001,0.01,0.023,1.07,0,1.49,0.08,0.008,0.002,0,0.001,0.01,0.16,0.1,1,1,0.6,2,0.07,2.41,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.2,"471",431.2
"99","Yadkin",1.51,2.15,36.59,1.08,0,0,0,73.45,0.0971,0.0267,0.1248,0.0786,0.2074,0.9254,0.181,1.7186,6.7817,10.16,0.005,0.05,0.001,0.016,0.028,0.31,0,0.51,0.04,0.008,0.003,0,0.001,0.01,0.05,0.1,1,1,0.6,2,0.07,1.34,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.03,1,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.92,0.5,0.5,3,0.2,"252",464.6
"100","Yancey",NA,0,25.3,0,0,0,0,84.92,0.0833,0.011,0.0598,0.0434,0.1378,0.6445,0.0847,1.1149,6.554,9.93,0.008,0.01,0.001,0.006,0.021,0.11,0,0.76,0.05,0.013,0.003,0,0.001,0.01,0.01,0.1,1,1,0.6,2,0.07,2.11,0.1,0.2,0.1,0.9,0.1,0.2,0.04,0.02,0.1,0.1,0.02,0.04,0.5,0.1,0.02,0.01,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.2,"145",480.5
